epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,139.263,1.19302,1.52192,1.75446,0.23774,0.69231,0.26187,0.1245,1.46732,8.28336,1.71441,0.00213004,0.00213004,0.00213004
60,141.616,1.15204,1.46117,1.67563,0.30715,0.69231,0.29402,0.13709,1.42373,7.07116,1.66488,0.00211504,0.00211504,0.00211504
61,143.757,1.09114,1.39806,1.64689,0.27707,0.69231,0.35234,0.13689,1.60804,9.03981,2.01336,0.00210005,0.00210005,0.00210005
62,145.806,1.14907,1.35442,1.63124,0.27385,0.63873,0.33444,0.14019,1.50037,9.97656,1.85693,0.00208505,0.00208505,0.00208505
63,148.898,1.10511,1.51087,1.63318,0.25974,0.61538,0.31899,0.15066,1.40992,8.22328,1.71589,0.00207005,0.00207005,0.00207005
64,151.317,1.03484,1.55461,1.70808,0.23232,0.61538,0.24809,0.09738,1.55491,8.68587,1.92401,0.00205505,0.00205505,0.00205505
65,153.168,1.00745,1.33252,1.61938,0.22355,0.84167,0.22984,0.10025,1.46121,10.0046,1.79661,0.00204005,0.00204005,0.00204005
66,155.568,1.16528,1.30968,1.72173,0.25039,0.61538,0.24542,0.11971,1.36121,11.627,1.66657,0.00202505,0.00202505,0.00202505
67,157.603,1.04497,1.22487,1.63155,0.25244,0.61538,0.25703,0.11114,1.49452,9.34175,1.7752,0.00201005,0.00201005,0.00201005
68,159.736,1.04784,1.23929,1.58669,0.27652,0.61538,0.26267,0.15404,1.09744,8.47608,1.28357,0.00199505,0.00199505,0.00199505
69,161.965,1.16152,1.51269,1.72671,0.24902,0.61538,0.24858,0.16741,0.91346,8.04548,1.12488,0.00198005,0.00198005,0.00198005
70,164.451,1.05393,1.42707,1.61796,0.23939,0.53846,0.24961,0.15422,1.02478,7.81364,1.2234,0.00196505,0.00196505,0.00196505
71,166.924,1.24242,1.44234,1.81153,0.22246,0.69231,0.26782,0.1801,0.94222,9.76938,1.15499,0.00195005,0.00195005,0.00195005
72,168.856,1.08488,1.4234,1.59872,0.25386,0.69231,0.2647,0.14432,1.24657,9.045,1.48021,0.00193505,0.00193505,0.00193505
73,170.898,1.0688,1.37663,1.57556,0.28648,0.69231,0.28059,0.1895,0.90197,6.8509,1.12285,0.00192005,0.00192005,0.00192005
74,173.269,1.06423,1.39996,1.67183,0.24011,0.84615,0.25335,0.15037,1.12451,6.75536,1.36572,0.00190505,0.00190505,0.00190505
75,175.36,1.07305,1.43036,1.57316,0.23417,0.84615,0.23725,0.16361,0.87404,6.14873,1.1208,0.00189006,0.00189006,0.00189006
76,177.41,1.0845,1.3326,1.59102,0.22864,0.84615,0.23158,0.14947,0.92944,6.0674,1.16938,0.00187506,0.00187506,0.00187506
77,179.542,0.95553,1.31866,1.52873,0.22107,0.84615,0.21375,0.14237,0.90713,6.64691,1.15129,0.00186006,0.00186006,0.00186006
78,181.957,1.08778,1.35838,1.68849,0.2207,0.84615,0.22453,0.15393,0.89615,6.91787,1.14377,0.00184506,0.00184506,0.00184506
