Sample_ID,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5
0107_petal_cutout,0.048197946877472746,6.201580372902079e-06,0.6726480033433876,0.023846232760657678,0.25271881488009296,0.0025828005580160996
0109_petal_cutout,0.019786260438562825,0.0,0.28333519675020097,3.952702446529213e-05,0.43486478772939186,0.261974228057379
0110_petal_cutout,6.458555602474057e-06,0.9246271183677939,0.0,0.0753664230766037,0.0,0.0
0111_petal_cutout,7.096519824137797e-05,0.8304090321874549,8.798137656628603e-06,0.16951023764833323,0.0,9.668283139152313e-07
0112_petal_cutout,4.3851806550438874e-05,0.9377574002868825,1.0341172290999018e-05,0.062180029075711254,0.0,8.377658564859963e-06
0113_petal_cutout,0.04174358589868832,0.0,0.44305952602882354,0.00030312524331016835,0.49466596259736434,0.02022780023181363
0114_petal_cutout,0.3670480175811102,0.15279145564652716,0.1543824717652988,0.1416410206627616,0.10280777270136073,0.08132926164294153
0115_petal_cutout,0.015123355179952478,0.0,0.10519571286366604,0.0014709693688140485,0.13013097853707817,0.7480789840504892
0116_petal_cutout,0.3390076389847456,0.3806335408327133,0.08415710250514259,0.04940712859687101,0.031413599345518455,0.11538098973500904
0117_petal_cutout,0.1545086015146783,0.00043756668532138164,0.5933432437607553,0.020445849449227907,0.22290975151884435,0.008354987071172758
0118_petal_cutout,0.15256183124699452,0.0,0.5825712287975643,0.02110571507370102,0.2343040717520824,0.009457153129657786
0119_petal_cutout,0.13117370821993582,0.003914769479147674,0.7223707615606308,0.024232070764672285,0.11150085364759155,0.006807836328021834
0121_petal_cutout,0.14153673028650407,0.15666135926020916,0.04039803062988574,0.09884333414327204,0.032148372881263654,0.5304121727988653
0122_petal_cutout,0.04221898535141539,0.00047900183276528073,0.3534582751383071,0.013641759051420833,0.3029037073820145,0.2872982712440769
0123_petal_cutout,0.01741272755202587,0.5891742271539723,0.0069400922035814895,0.34876574180777664,0.00098009381565475,0.03672711746698901
0124_petal_cutout,0.4638777537549492,0.010233687425665737,0.002583513739160694,0.38960465468853617,0.0022166725249585053,0.13148371786672966
0125_petal_cutout,0.2934752967323648,5.454012448783414e-05,0.21845024236267818,0.4837606779337474,0.00419277207000225,6.647077671954786e-05
0126_petal_cutout,0.023726036085670758,0.0,0.6830474239505863,0.0008619991964884194,0.2099644677831596,0.08240007298409494
0127_petal_cutout,0.024137732561265248,0.0,0.6749951772098657,0.0009372341535766128,0.21447178588709295,0.08545807018819951
0128_petal_cutout,0.007480326336206452,0.0,0.19808299529366322,0.00028032214573676316,0.49783489583218926,0.2963214603922043
0129_petal_cutout,0.6158766378465104,0.0,0.08924503075140387,0.23802477939210268,0.015570015152865675,0.041283536857117394
0130_petal_cutout,0.007888876383104163,0.0,0.8359978100625579,0.013159223987395321,0.1407804368662912,0.002173652700651433
0131_petal_cutout,7.278874961761963e-05,0.5134087412009416,0.17857532112768162,0.3079395094842783,0.0,3.6394374808809814e-06
0132_petal_cutout,0.15152827036948655,1.5132699488398353e-05,0.1282979893086949,0.0827917396625408,0.06058402695948616,0.5767828410003032
0133_petal_cutout,0.2685252824300442,3.7081342374259023e-06,0.01226724968425237,0.6874428483810656,8.157895322336985e-06,0.031752753475078
0134_petal_cutout,0.01977349166898345,0.0,0.8432619728967606,0.0008117018852700603,0.13461095271042844,0.0015418808385574204
0135_petal_cutout,0.018738485504464206,0.0,0.8401725552192016,0.000877902620112796,0.13906649195486545,0.001144564701355933
0136_petal_cutout,0.015122057579176975,0.0,0.2608497042813282,1.7326396189747357e-05,0.6456110740608708,0.0783998376824342
0137_petal_cutout,1.1893081200011893e-05,0.0,0.9825350102577826,0.012594772990812594,0.004858323670204858,0.0
0138_petal_cutout,1.1893081200011893e-05,0.0,0.9825350102577826,0.012594772990812594,0.004858323670204858,0.0
0139_petal_cutout,0.18966437730823132,0.0,0.3970363765187647,0.029553170432488538,0.23837276169894345,0.14537331404157194
0140_petal_cutout,0.014029169383805083,0.0,0.022730227715517373,0.0005787042869808838,0.21506079166746458,0.747601106946232
0141_petal_cutout,0.0013694807408249062,0.5300575843654131,0.034422815589137595,0.4341492103170094,0.0,9.08987615043745e-07
0142_petal_cutout,0.0315482247386906,0.45304806040428475,0.03889070663499611,0.476384283290398,0.0,0.00012872493163054678
